Precinct	Choice	Votes	CastTotal	UnderVotes	OverVotes	InvalidVotes	RejectedCategoryName	RejectedWriteInVotes	UnresolvedCategoryName	UnresolvedWriteInVotes	VotingTypeName	PrecinctBallotsCast_VT1	VotingTypeName3	PrecinctBallotsCast_VT2	VotingTypeName4	PrecinctBallotsCast_VT3	VotingTypeName5	PrecinctBallotsCast_VT4	VotingTypeName6	PrecinctBallotsCast_VT5	TotalBallotsCast	RegisteredVotes	TurnoutPercentage
1CS-1	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	"1,752"	0.00%
1CS-1	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	"1,752"	0.00%
1CS-2	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	"1,624"	0.06%
1CS-2	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	"1,624"	0.06%
1.00E-26	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	194	0.00%
1.00E-26	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	194	0.00%
1.00E-30	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	946	0.00%
1.00E-30	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	946	0.00%
1.00E-35	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	317	0.00%
1.00E-35	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	317	0.00%
1.00E-36	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	241	0.00%
1.00E-36	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	241	0.00%
1.00E-37	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	736	0.00%
1.00E-37	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	736	0.00%
1.00E-47	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	852	0.00%
1.00E-47	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	852	0.00%
1ES-1	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	990	0.00%
1ES-1	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	990	0.00%
1ES-4	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	252	0.00%
1ES-4	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	252	0.00%
1F--1	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	957	0.00%
1F--1	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	957	0.00%
1F--7	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	34	0.00%
1F--7	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	34	0.00%
1FS	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	896	0.11%
1FS	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	896	0.11%
1FS-1	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	157	0.00%
1FS-1	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	157	0.00%
1FS-4	HOWIE HAWKINS	0	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	1	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	216	0.46%
1FS-4	GLORIA LA RIVA	1	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	1	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	216	0.46%
1FS-9	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	235	0.00%
1FS-9	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	235	0.00%
1LU	HOWIE HAWKINS	0	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	830	0.12%
1LU	GLORIA LA RIVA	1	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	830	0.12%
1MU	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	1	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	202	0.50%
1MU	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	1	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	202	0.50%
1MUF	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	168	0.00%
1MUF	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	168	0.00%
1RD	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	68	0.00%
1RD	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	68	0.00%
1RV-2	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	124	0.00%
1RV-2	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	124	0.00%
1SB-2	HOWIE HAWKINS	1	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	"1,371"	0.07%
1SB-2	GLORIA LA RIVA	0	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	"1,371"	0.07%
1SB-4	HOWIE HAWKINS	0	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	"1,040"	0.10%
1SB-4	GLORIA LA RIVA	1	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	"1,040"	0.10%
1SB-8	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	211	0.00%
1SB-8	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	211	0.00%
1SB10	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	"1,133"	0.00%
1SB10	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	"1,133"	0.00%
1SB11	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	47	0.00%
1SB11	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	47	0.00%
1SB12	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	185	0.00%
1SB12	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	185	0.00%
1SCD	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	233	0.00%
1SCD	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	233	0.00%
1SU	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	242	0.00%
1SU	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	242	0.00%
2BV-1	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	329	0.00%
2BV-1	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	329	0.00%
2CU	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	477	0.00%
2CU	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	477	0.00%
2F--2	HOWIE HAWKINS	1	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	"1,020"	0.10%
2F--2	GLORIA LA RIVA	0	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	"1,020"	0.10%
2F--3	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	731	0.00%
2F--3	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	731	0.00%
2F--4	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	"1,030"	0.00%
2F--4	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	"1,030"	0.00%
2F-R1	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	"1,250"	0.00%
2F-R1	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	"1,250"	0.00%
2F-R2	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	1	Early Voting Ballots Cast	0	 Ballots Cast	0	1	884	0.11%
2F-R2	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	1	Early Voting Ballots Cast	0	 Ballots Cast	0	1	884	0.11%
2F-R3	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	881	0.00%
2F-R3	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	881	0.00%
2F-R4	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	863	0.00%
2F-R4	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	863	0.00%
2HV-1	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	864	0.00%
2HV-1	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	864	0.00%
2MR	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	49	0.00%
2MR	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	49	0.00%
2R--1	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	794	0.00%
2R--1	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	794	0.00%
2R--2	HOWIE HAWKINS	0	0	1	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	1	Early Voting Ballots Cast	0	 Ballots Cast	0	2	971	0.21%
2R--2	GLORIA LA RIVA	0	0	1	0	0	Rejected write-in votes	0	Unqualified Write-Ins	1	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	1	Election Day Voting Ballots Cast	1	Early Voting Ballots Cast	0	 Ballots Cast	0	2	971	0.21%
2RV-1	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	278	0.00%
2RV-1	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	278	0.00%
2SH-1	HOWIE HAWKINS	1	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	1	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	151	0.66%
2SH-1	GLORIA LA RIVA	0	1	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	1	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	1	151	0.66%
2SH-2	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	135	0.00%
2SH-2	GLORIA LA RIVA	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	135	0.00%
2SH-3	HOWIE HAWKINS	0	0	0	0	0	Rejected write-in votes	0	Unqualified Write-Ins	0	Mail Ballot Precincts Ballots Cast	0	Vote By Mail Ballots Cast	0	Election Day Voting Ballots Cast	0	Early Voting Ballots Cast	0	 Ballots Cast	0	0	135	0.00%
