Official Results,,,,
San Mateo,,,,
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
1001,President and Vice President,JOSEPH R. BIDEN / KAMALA D. HARRIS,2524,90.47%
1001,President and Vice President,DONALD J. TRUMP / MICHAEL R. PENCE,696,90.47%
1001,President and Vice President,GLORIA LA RIVA / SUNIL FREEMAN,2,90.47%
1001,President and Vice President,HOWIE HAWKINS / ANGELA NICOLE WALKER,10,90.47%
1001,President and Vice President,"JO JORGENSEN / JEREMY ""SPIKE"" COHEN",24,90.47%
1001,President and Vice President,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST",9,90.47%
1001,President and Vice President,BRIAN CARROLL / AMAR PATEL (Write-in),0,90.47%
1001,President and Vice President,MARK CHARLES / ADRIAN WALLACE (Write-in),0,90.47%
1001,President and Vice President,JOSEPH KISHORE / NORISSA SANTA CRUZ (Write-in),0,90.47%
1001,President and Vice President,BROCK PIERCE / KARLA BALLARD (Write-in),0,90.47%
1001,President and Vice President,JESSE VENTURA / CYNTHIA MCKINNEY (Write-in),0,90.47%
1001,"US Representative, 14th District",RAN S. PETEL,770,90.47%
1001,"US Representative, 14th District",JACKIE SPEIER,2427,90.47%
1001,"State Senator, 13th District",ALEXANDER GLEW,897,90.47%
1001,"State Senator, 13th District",JOSH BECKER,2185,90.47%
1001,"Member of the State Assembly, 22nd District",MARK GILHAM,818,90.47%
1001,"Member of the State Assembly, 22nd District",KEVIN MULLIN,2263,90.47%
1001,"County Board of Education Member, Trustee Area 4",CHELSEA BONINI,1217,90.47%
1001,"County Board of Education Member, Trustee Area 4",ROD HSIAO,1260,90.47%
1001,"San Mateo County Community College District Member, Governing Board, Trustee Area 3",MAURICE GOODMAN,1221,90.47%
1001,"San Mateo County Community College District Member, Governing Board, Trustee Area 3",DAVE MANDELKERN,1086,90.47%
1001,"San Mateo Union High School District Members, Governing Board",LIGIA ANDRADE ZUNIGA,1276,90.47%
1001,"San Mateo Union High School District Members, Governing Board",GREG LAND,1494,90.47%
1001,"San Mateo Union High School District Members, Governing Board",NEAL KAUFMAN,1043,90.47%
1001,Proposition 14 (Majority Approval Required),YES,1636,90.47%
1001,Proposition 14 (Majority Approval Required),NO,1434,90.47%
1001,Proposition 15 (Majority Approval Required),YES,1710,90.47%
1001,Proposition 15 (Majority Approval Required),NO,1434,90.47%
1001,Proposition 16 (Majority Approval Required),YES,1508,90.47%
1001,Proposition 16 (Majority Approval Required),NO,1585,90.47%
1001,Proposition 17 (Majority Approval Required),YES,2057,90.47%
1001,Proposition 17 (Majority Approval Required),NO,1071,90.47%
1001,Proposition 18 (Majority Approval Required),YES,1622,90.47%
1001,Proposition 18 (Majority Approval Required),NO,1525,90.47%
1001,Proposition 19 (Majority Approval Required),YES,1599,90.47%
1001,Proposition 19 (Majority Approval Required),NO,1473,90.47%
1001,Proposition 20 (Majority Approval Required),YES,1005,90.47%
1001,Proposition 20 (Majority Approval Required),NO,1997,90.47%
1001,Proposition 21 (Majority Approval Required),YES,1082,90.47%
1001,Proposition 21 (Majority Approval Required),NO,2044,90.47%
1001,Proposition 22 (Majority Approval Required),YES,1606,90.47%
1001,Proposition 22 (Majority Approval Required),NO,1533,90.47%
1001,Proposition 23 (Majority Approval Required),YES,1019,90.47%
1001,Proposition 23 (Majority Approval Required),NO,2042,90.47%
1001,Proposition 24 (Majority Approval Required),YES,1675,90.47%
1001,Proposition 24 (Majority Approval Required),NO,1398,90.47%
1001,Proposition 25 (Majority Approval Required),YES,1620,90.47%
1001,Proposition 25 (Majority Approval Required),NO,1423,90.47%
1001,"Peninsula Corridor Joint Powers Board ('Caltrain'), Measure RR (2/3 Approval Required)",YES,2132,90.47%
1001,"Peninsula Corridor Joint Powers Board ('Caltrain'), Measure RR (2/3 Approval Required)",NO,940,90.47%
1003,President and Vice President,JOSEPH R. BIDEN / KAMALA D. HARRIS,1413,88.07%
1003,President and Vice President,DONALD J. TRUMP / MICHAEL R. PENCE,333,88.07%
1003,President and Vice President,GLORIA LA RIVA / SUNIL FREEMAN,2,88.07%
1003,President and Vice President,HOWIE HAWKINS / ANGELA NICOLE WALKER,5,88.07%
1003,President and Vice President,"JO JORGENSEN / JEREMY ""SPIKE"" COHEN",11,88.07%
1003,President and Vice President,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST",6,88.07%
1003,President and Vice President,BRIAN CARROLL / AMAR PATEL (Write-in),0,88.07%
1003,President and Vice President,MARK CHARLES / ADRIAN WALLACE (Write-in),0,88.07%
1003,President and Vice President,JOSEPH KISHORE / NORISSA SANTA CRUZ (Write-in),0,88.07%
1003,President and Vice President,BROCK PIERCE / KARLA BALLARD (Write-in),0,88.07%
1003,President and Vice President,JESSE VENTURA / CYNTHIA MCKINNEY (Write-in),0,88.07%
1003,"US Representative, 14th District",RAN S. PETEL,331,88.07%
1003,"US Representative, 14th District",JACKIE SPEIER,1404,88.07%
1003,"State Senator, 13th District",ALEXANDER GLEW,402,88.07%
1003,"State Senator, 13th District",JOSH BECKER,1280,88.07%
1003,"Member of the State Assembly, 22nd District",MARK GILHAM,376,88.07%
1003,"Member of the State Assembly, 22nd District",KEVIN MULLIN,1290,88.07%
1003,"County Board of Education Member, Trustee Area 4",CHELSEA BONINI,772,88.07%
1003,"County Board of Education Member, Trustee Area 4",ROD HSIAO,650,88.07%
1003,"San Mateo County Community College District Member, Governing Board, Trustee Area 3",MAURICE GOODMAN,652,88.07%
1003,"San Mateo County Community College District Member, Governing Board, Trustee Area 3",DAVE MANDELKERN,640,88.07%
1003,"San Mateo Union High School District Members, Governing Board",LIGIA ANDRADE ZUNIGA,761,88.07%
1003,"San Mateo Union High School District Members, Governing Board",GREG LAND,793,88.07%
1003,"San Mateo Union High School District Members, Governing Board",NEAL KAUFMAN,519,88.07%
1003,Proposition 14 (Majority Approval Required),YES,972,88.07%
1003,Proposition 14 (Majority Approval Required),NO,702,88.07%
1003,Proposition 15 (Majority Approval Required),YES,1012,88.07%
1003,Proposition 15 (Majority Approval Required),NO,697,88.07%
1003,Proposition 16 (Majority Approval Required),YES,867,88.07%
1003,Proposition 16 (Majority Approval Required),NO,810,88.07%
1003,Proposition 17 (Majority Approval Required),YES,1170,88.07%
1003,Proposition 17 (Majority Approval Required),NO,523,88.07%
1003,Proposition 18 (Majority Approval Required),YES,908,88.07%
1003,Proposition 18 (Majority Approval Required),NO,807,88.07%
1003,Proposition 19 (Majority Approval Required),YES,906,88.07%
1003,Proposition 19 (Majority Approval Required),NO,746,88.07%
1003,Proposition 20 (Majority Approval Required),YES,536,88.07%
1003,Proposition 20 (Majority Approval Required),NO,1114,88.07%
1003,Proposition 21 (Majority Approval Required),YES,679,88.07%
1003,Proposition 21 (Majority Approval Required),NO,1004,88.07%
1003,Proposition 22 (Majority Approval Required),YES,864,88.07%
1003,Proposition 22 (Majority Approval Required),NO,839,88.07%
1003,Proposition 23 (Majority Approval Required),YES,627,88.07%
1003,Proposition 23 (Majority Approval Required),NO,1039,88.07%
1003,Proposition 24 (Majority Approval Required),YES,942,88.07%
1003,Proposition 24 (Majority Approval Required),NO,730,88.07%
1003,Proposition 25 (Majority Approval Required),YES,971,88.07%
1003,Proposition 25 (Majority Approval Required),NO,681,88.07%
1003,"Peninsula Corridor Joint Powers Board ('Caltrain'), Measure RR (2/3 Approval Required)",YES,1243,88.07%
1003,"Peninsula Corridor Joint Powers Board ('Caltrain'), Measure RR (2/3 Approval Required)",NO,421,88.07%
1004,President and Vice President,JOSEPH R. BIDEN / KAMALA D. HARRIS,2039,88.38%
1004,President and Vice President,DONALD J. TRUMP / MICHAEL R. PENCE,519,88.38%
1004,President and Vice President,GLORIA LA RIVA / SUNIL FREEMAN,8,88.38%
1004,President and Vice President,HOWIE HAWKINS / ANGELA NICOLE WALKER,12,88.38%
1004,President and Vice President,"JO JORGENSEN / JEREMY ""SPIKE"" COHEN",34,88.38%
1004,President and Vice President,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST",4,88.38%
1004,President and Vice President,BRIAN CARROLL / AMAR PATEL (Write-in),2,88.38%
1004,President and Vice President,MARK CHARLES / ADRIAN WALLACE (Write-in),0,88.38%
1004,President and Vice President,JOSEPH KISHORE / NORISSA SANTA CRUZ (Write-in),0,88.38%
1004,President and Vice President,BROCK PIERCE / KARLA BALLARD (Write-in),0,88.38%
1004,President and Vice President,JESSE VENTURA / CYNTHIA MCKINNEY (Write-in),1,88.38%
1004,"US Representative, 14th District",RAN S. PETEL,559,88.38%
1004,"US Representative, 14th District",JACKIE SPEIER,2011,88.38%
1004,"State Senator, 13th District",ALEXANDER GLEW,634,88.38%
1004,"State Senator, 13th District",JOSH BECKER,1868,88.38%
1004,"Member of the State Assembly, 22nd District",MARK GILHAM,614,88.38%
1004,"Member of the State Assembly, 22nd District",KEVIN MULLIN,1882,88.38%
1004,"County Board of Education Member, Trustee Area 4",CHELSEA BONINI,1087,88.38%
1004,"County Board of Education Member, Trustee Area 4",ROD HSIAO,948,88.38%
1004,"San Mateo County Community College District Member, Governing Board, Trustee Area 3",MAURICE GOODMAN,985,88.38%
1004,"San Mateo County Community College District Member, Governing Board, Trustee Area 3",DAVE MANDELKERN,879,88.38%
1004,"San Mateo Union High School District Members, Governing Board",LIGIA ANDRADE ZUNIGA,1068,88.38%
1004,"San Mateo Union High School District Members, Governing Board",GREG LAND,1233,88.38%
1004,"San Mateo Union High School District Members, Governing Board",NEAL KAUFMAN,764,88.38%
1004,Proposition 14 (Majority Approval Required),YES,1408,88.38%
1004,Proposition 14 (Majority Approval Required),NO,1113,88.38%
1004,Proposition 15 (Majority Approval Required),YES,1431,88.38%
1004,Proposition 15 (Majority Approval Required),NO,1127,88.38%
