Official Results
San Mateo
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"10001","President and Vice President","KAMALA D. HARRIS / TIM WALZ","1016","83.48%"
"10001","President and Vice President","DONALD J. TRUMP / JD VANCE","301","83.48%"
"10001","President and Vice President","JILL STEIN / RUDOLPH WARE","17","83.48%"
"10001","President and Vice President","ROBERT F. KENNEDY JR. / NICOLE SHANAHAN","16","83.48%"
"10001","President and Vice President","CHASE OLIVER / MIKE TER MAAT","8","83.48%"
"10001","President and Vice President","CLAUDIA DE LA CRUZ / KARINA GARCIA","7","83.48%"
"10001","President and Vice President","PETER SONSKI / LAUREN ONAK (Write-in)","1","83.48%"
"10001","United States Senator (Full Term)","ADAM B. SCHIFF","991","83.48%"
"10001","United States Senator (Full Term)","STEVE GARVEY","346","83.48%"
"10001","United States Senator (Partial/Unexpired Term)","ADAM B. SCHIFF","967","83.48%"
"10001","United States Senator (Partial/Unexpired Term)","STEVE GARVEY","344","83.48%"
"10001","U.S. Representative, 15th District","KEVIN MULLIN","977","83.48%"
"10001","U.S. Representative, 15th District","ANNA CHENG KRAMER","344","83.48%"
"10001","State Senator, 13th District","JOSH BECKER","953","83.48%"
"10001","State Senator, 13th District","ALEXANDER GLEW","338","83.48%"
"10001","Member of the State Assembly, 21st District","DIANE PAPAN","969","83.48%"
"10001","Member of the State Assembly, 21st District","MARK GILHAM","330","83.48%"
"10001","County Board of Education Member, Trustee Area 5","MIKE O'NEILL","634","83.48%"
"10001","County Board of Education Member, Trustee Area 5","MAURICE GOODMAN","409","83.48%"
"10001","City of Burlingame Member, City Council, District 2 (Full Term)","DESIREE THAYER","587","83.48%"
"10001","City of Burlingame Member, City Council, District 2 (Full Term)","NIRMALA BANDRAPALLI","413","83.48%"
"10001","City of Burlingame Member, City Council, District 2 (Full Term)","RACHEL NI","144","83.48%"
"10001","City of Burlingame Member, City Council, District 2 (Full Term)","HADIA KHOURY","81","83.48%"
"10001","Proposition 2 (Majority Approval Required)","YES","813","83.48%"
"10001","Proposition 2 (Majority Approval Required)","NO","467","83.48%"
"10001","Proposition 3 (Majority Approval Required)","YES","990","83.48%"
"10001","Proposition 3 (Majority Approval Required)","NO","290","83.48%"
"10001","Proposition 4 (Majority Approval Required)","YES","869","83.48%"
"10001","Proposition 4 (Majority Approval Required)","NO","414","83.48%"
"10001","Proposition 5 (Majority Approval Required)","NO","704","83.48%"
"10001","Proposition 5 (Majority Approval Required)","YES","562","83.48%"
"10001","Proposition 6 (Majority Approval Required)","YES","686","83.48%"
"10001","Proposition 6 (Majority Approval Required)","NO","557","83.48%"
"10001","Proposition 32 (Majority Approval Required)","YES","686","83.48%"
"10001","Proposition 32 (Majority Approval Required)","NO","584","83.48%"
"10001","Proposition 33 (Majority Approval Required)","NO","834","83.48%"
"10001","Proposition 33 (Majority Approval Required)","YES","431","83.48%"
"10001","Proposition 34 (Majority Approval Required)","NO","701","83.48%"
"10001","Proposition 34 (Majority Approval Required)","YES","504","83.48%"
"10001","Proposition 35 (Majority Approval Required)","YES","884","83.48%"
"10001","Proposition 35 (Majority Approval Required)","NO","359","83.48%"
"10001","Proposition 36 (Majority Approval Required)","YES","851","83.48%"
"10001","Proposition 36 (Majority Approval Required)","NO","427","83.48%"
"10001","Burlingame School District, Measure GG (2/3 Approval Required)","YES","930","83.48%"
"10001","Burlingame School District, Measure GG (2/3 Approval Required)","NO","346","83.48%"
"10003","President and Vice President","KAMALA D. HARRIS / TIM WALZ","1057","76.96%"
"10003","President and Vice President","DONALD J. TRUMP / JD VANCE","281","76.96%"
"10003","President and Vice President","ROBERT F. KENNEDY JR. / NICOLE SHANAHAN","17","76.96%"
"10003","President and Vice President","JILL STEIN / RUDOLPH WARE","15","76.96%"
"10003","President and Vice President","CHASE OLIVER / MIKE TER MAAT","6","76.96%"
"10003","President and Vice President","CLAUDIA DE LA CRUZ / KARINA GARCIA","1","76.96%"
"10003","President and Vice President","PETER SONSKI / LAUREN ONAK (Write-in)","0","76.96%"
"10003","United States Senator (Full Term)","ADAM B. SCHIFF","1039","76.96%"
"10003","United States Senator (Full Term)","STEVE GARVEY","309","76.96%"
"10003","United States Senator (Partial/Unexpired Term)","ADAM B. SCHIFF","1012","76.96%"
